level_0,index,Name,Time,Store,Comment
0,46885,Stephanie,13/01/2019,Walmart,"Never can keep store stocked !!!! Out of things all the time. When employees stock they blast there music on there phones or on there phones, went on 1/12/19 the store was a mess there was open products on selves and stuff everywhere. Then you had employee having a meeting in the middle of the aisles. This is the Beaumont ca. Store"
1,43723,Frank GÃ³mez,13/01/2021,Walmart,Horrible place staff are rude and would not return my product
2,43724,Kyle Brady,13/01/2021,Walmart,Ordered 18 frames got my delivery today opened the box and to my Horror 3/4 were smashed to hell there was 3 packing bubbles on top and nothing else to protect the frames. Once I pulled them all out the 5 on bottom were face down with no packing protection on bottom they were completely smashed. There was so many glass shards everywhere I cut myself and my son later in the day got some stuck in his foot because it was a micro splinter size.. TRAINED PACKING PROFESIONALS IT CLEARLY STATES ON THE SITE.. This is beyond unacceptable. Laziest dangerous packing.
3,43725,Beth Elliott,13/01/2021,Walmart,"Walmart you just lost about 75 million customers and you can thank your own Twitter account for this. You lost a long time shopper, I will be giving my Business to HEB now. I know of many more people who are no longer supporting Walmart."
4,43726,Marion Anderson,13/01/2021,Walmart,"Walmart is enjoying a huge increase in online pricing on items such as meats. Don't bother trying to get the lesser priced ticket sale when your meat arrives. Their customer service will not so nicely tell you that if you want the lower price, go do your own shopping. They charged me 15.26 online and the ticketed price when it arrived was actually 10.77 (this was just one package of the two packages I had ordered) and they refused to honor the lower price stating it was the stores responsibility to remove the price tag. The store claims they have nothing at all to do with on line pricing and cannot help you. Their profits are booming during covid while smaller stores suffer."
5,47319,Paul,14/01/2015,Walmart,"The site is okay, I just can't take the stores. Rude staff that could care less about the customers, they don't answer the phones in any departments, it's messy, they close lanes to make the lines long. I don't shop at Walmart anymore as a result and warn others of the constant bad experience when going there. Try calling and asking for a department, see if anyone answers. Then you call back to ask for a manager but since they have caller id they just ignore you or send you back to the same department that won't answer. In the end you just post a bad review and find others stores to shop at. Walmart really sucks!"
6,46884,Leah,14/01/2019,Walmart,"I ordered a diamond earring & pendant set from walmart.com on 11/30 hoping it would arrive before Christmas. On Dec 23rd, there was no update as to whether it was coming at all. So I canceled that order and as of 1/14/19 I have YET to get a refund! I have called over 5 times and keep getting put on hold with no resolution. Meanwhile my credit card is accruing interest. I should NOT have had to pay for an item that never shipped!"
7,43717,CHAD RIEWSKI,14/01/2021,Walmart,"Just horrible customer service at the Branson hills parkway location, act like it's such a big deal to just match a walmart.com order, that they have in store, so now I had to wait over 2 hours to get, just horrible!!!!!"
8,43718,Tim W.,14/01/2021,Walmart,Ordered full size bunk beds. Then waited a month to get them delivered. The delivery company arrived today with a sectional futon. We refused delivery and now have to wait two more weeks so they say to send us the right item. We will see if and when we get it and hopefully it is the right item this time.
9,43719,Marlin Cromwell,14/01/2021,Walmart,"The Walmart store located in Hendersonville, NC (28792) is a complete disaster!!! The appearance is terrible and appears to look like a warehouse. It appears no management at all in this location. Employees do not appear happy. This location needs serious work and attention."
10,43720,whidbey island Frank,14/01/2021,Walmart,"Bought an electrical part from Walmart it lasted a couple days and then burnt out went to return it and they tried keeping my shipping money, actually still fighting with the money now might just have to call my credit card and let them take care of it, go wall hole, I remember why I don't use Walmart anymore...."
