index,Name,Time,Store,Comment
180054,Stephanie,1/13/19,Walmart,never keep store stock thing time
180055,Stephanie,1/13/19,Walmart,employee stock blast music phone phone go store mess open product self stuff everywhere
180056,Stephanie,1/13/19,Walmart,employee meeting middle aisle
180057,Stephanie,1/13/19,Walmart,beaumont ca
180058,Stephanie,1/13/19,Walmart,store
152363,Frank GÃ³mez,1/13/21,Walmart,horrible place staff rude would not return product
152364,Kyle Brady,1/13/21,Walmart,order frame get delivery today open box horror smash hell pack bubble top nothing else protect frame
152365,Kyle Brady,1/13/21,Walmart,pull bottom face no packing protection bottom completely smash
152366,Kyle Brady,1/13/21,Walmart,many glass shard everywhere cut son later day get stuck foot micro splinter size
152368,Kyle Brady,1/13/21,Walmart,train packing profesional clearly state site
152370,Kyle Brady,1/13/21,Walmart,beyond unacceptable
152371,Kyle Brady,1/13/21,Walmart,lazy dangerous packing
152373,Beth Elliott,1/13/21,Walmart,walmart just lose million customer thank twitter account
152374,Beth Elliott,1/13/21,Walmart,lose long time shopper give business heb
152375,Beth Elliott,1/13/21,Walmart,know many people no long support walmart
152377,Marion Anderson,1/13/21,Walmart,walmart enjoy huge increase online pricing item meat
152378,Marion Anderson,1/13/21,Walmart,don bother try get less price ticket sale meat arrive
152379,Marion Anderson,1/13/21,Walmart,customer service not nicely tell want low price go shopping
152380,Marion Anderson,1/13/21,Walmart,charge
152381,Marion Anderson,1/13/21,Walmart,online ticketed price arrive actually
152382,Marion Anderson,1/13/21,Walmart,just one package two package order refuse honor low price state store responsibility remove price tag
152383,Marion Anderson,1/13/21,Walmart,store claim nothing line pricing not help
152384,Marion Anderson,1/13/21,Walmart,profit boom covid small store suffer
183607,Paul,1/14/15,Walmart,site okay just not take store
183608,Paul,1/14/15,Walmart,rude staff could care less customer not answer phone department messy close lane make line long
183609,Paul,1/14/15,Walmart,not shop walmart anymore result warn constant bad experience go
183610,Paul,1/14/15,Walmart,try call ask department see anyone answer
183611,Paul,1/14/15,Walmart,call back ask manager
183612,Paul,1/14/15,Walmart,since caller just ignore send back department not answer
183613,Paul,1/14/15,Walmart,end just post bad review find store shop
183614,Paul,1/14/15,Walmart,walmart really suck
180048,Leah,1/14/19,Walmart,order diamond earring pendant set walmart
180049,Leah,1/14/19,Walmart,com hope would arrive christmas
180050,Leah,1/14/19,Walmart,dec rd no update whether come
