level_0,index,Name,Time,Store,Comment
0,180054,Stephanie,13/01/2019,Walmart,never keep store stock thing time
1,180055,Stephanie,13/01/2019,Walmart,employee stock blast music phone phone go store mess open product self stuff everywhere
2,180056,Stephanie,13/01/2019,Walmart,employee meeting middle aisle
3,180057,Stephanie,13/01/2019,Walmart,beaumont ca
4,180058,Stephanie,13/01/2019,Walmart,store
5,152363,Frank GÃ³mez,13/01/2021,Walmart,horrible place staff rude would not return product
6,152364,Kyle Brady,13/01/2021,Walmart,order frame get delivery today open box horror smash hell pack bubble top nothing else protect frame
7,152365,Kyle Brady,13/01/2021,Walmart,pull bottom face no packing protection bottom completely smash
8,152366,Kyle Brady,13/01/2021,Walmart,many glass shard everywhere cut son later day get stuck foot micro splinter size
9,152368,Kyle Brady,13/01/2021,Walmart,train packing profesional clearly state site
10,152370,Kyle Brady,13/01/2021,Walmart,beyond unacceptable
11,152371,Kyle Brady,13/01/2021,Walmart,lazy dangerous packing
12,152373,Beth Elliott,13/01/2021,Walmart,walmart just lose million customer thank twitter account
13,152374,Beth Elliott,13/01/2021,Walmart,lose long time shopper give business heb
14,152375,Beth Elliott,13/01/2021,Walmart,know many people no long support walmart
15,152377,Marion Anderson,13/01/2021,Walmart,walmart enjoy huge increase online pricing item meat
16,152378,Marion Anderson,13/01/2021,Walmart,don bother try get less price ticket sale meat arrive
17,152379,Marion Anderson,13/01/2021,Walmart,customer service not nicely tell want low price go shopping
18,152380,Marion Anderson,13/01/2021,Walmart,charge
19,152381,Marion Anderson,13/01/2021,Walmart,online ticketed price arrive actually
20,152382,Marion Anderson,13/01/2021,Walmart,just one package two package order refuse honor low price state store responsibility remove price tag
21,152383,Marion Anderson,13/01/2021,Walmart,store claim nothing line pricing not help
22,152384,Marion Anderson,13/01/2021,Walmart,profit boom covid small store suffer
23,183607,Paul,14/01/2015,Walmart,site okay just not take store
24,183608,Paul,14/01/2015,Walmart,rude staff could care less customer not answer phone department messy close lane make line long
25,183609,Paul,14/01/2015,Walmart,not shop walmart anymore result warn constant bad experience go
26,183610,Paul,14/01/2015,Walmart,try call ask department see anyone answer
27,183611,Paul,14/01/2015,Walmart,call back ask manager
28,183612,Paul,14/01/2015,Walmart,since caller just ignore send back department not answer
29,183613,Paul,14/01/2015,Walmart,end just post bad review find store shop
30,183614,Paul,14/01/2015,Walmart,walmart really suck
31,180048,Leah,14/01/2019,Walmart,order diamond earring pendant set walmart
32,180049,Leah,14/01/2019,Walmart,com hope would arrive christmas
33,180050,Leah,14/01/2019,Walmart,dec rd no update whether come
34,180051,Leah,14/01/2019,Walmart,cancel order yet get refund call time keep getting put hold no resolution
35,180052,Leah,14/01/2019,Walmart,meanwhile credit card accrue interest
36,180053,Leah,14/01/2019,Walmart,not pay item never ship
37,152325,CHAD RIEWSKI,14/01/2021,Walmart,just horrible customer service branson hill parkway location act like big deal just match walmart
38,152326,CHAD RIEWSKI,14/01/2021,Walmart,com order store wait hour get just horrible
39,152327,Tim W.,14/01/2021,Walmart,order full size bunk bed
40,152328,Tim W.,14/01/2021,Walmart,wait month get deliver
41,152329,Tim W.,14/01/2021,Walmart,delivery company arrive today sectional futon
42,152330,Tim W.,14/01/2021,Walmart,refuse delivery wait two week say send right item
43,152331,Tim W.,14/01/2021,Walmart,see get hopefully right item time
44,152333,Marlin Cromwell,14/01/2021,Walmart,walmart store locate hendersonville nc complete disaster appearance terrible appear look like warehouse
45,152334,Marlin Cromwell,14/01/2021,Walmart,appear no management location
46,152335,Marlin Cromwell,14/01/2021,Walmart,employee not appear happy
47,152336,Marlin Cromwell,14/01/2021,Walmart,location need serious work attention
48,152338,whidbey island Frank,14/01/2021,Walmart,buy electrical part walmart last couple day burn go return try keep shipping money actually still fight money might just call credit card let take care go wall hole remember not use walmart anymore
49,152343,taurus dotson,14/01/2021,Walmart,order whalen payton flat panel tv st
50,152344,taurus dotson,14/01/2021,Walmart,glass top
51,152345,taurus dotson,14/01/2021,Walmart,get box one glass top crack end
52,152346,taurus dotson,14/01/2021,Walmart,box extremely heavy awkward move
53,152347,taurus dotson,14/01/2021,Walmart,finally get end
54,152348,taurus dotson,14/01/2021,Walmart,continue put together thought would call send pic happen
55,152349,taurus dotson,14/01/2021,Walmart,ask percentage trouble
56,152350,taurus dotson,14/01/2021,Walmart,agent say send whole thing back get percentage would
57,152351,taurus dotson,14/01/2021,Walmart,explain would not send large item back
58,152352,taurus dotson,14/01/2021,Walmart,think little low think least
59,152353,taurus dotson,14/01/2021,Walmart,anything fragile probably never order
60,152354,taurus dotson,14/01/2021,Walmart,too much trouble
61,152355,taurus dotson,14/01/2021,Walmart,luckily gift still hit
62,152356,taurus dotson,14/01/2021,Walmart,come walmart
63,152357,Lori Nicely,14/01/2021,Walmart,watch bank account cause bank hold money day pay
64,152358,Lori Nicely,14/01/2021,Walmart,recharge product ready bring
65,152359,Lori Nicely,14/01/2021,Walmart,go call bank fault not walmart
66,152360,Lori Nicely,14/01/2021,Walmart,walmart rescanne product
67,152361,Lori Nicely,14/01/2021,Walmart,bout ready go news medium
68,135171,Rauchelle Larmond,14/01/2022,Walmart,yesterday pm attempt order grocery online walmart time slot pm use gift card pay order page website freeze order confirmation wait minute load pi open new tab type walmart item still cart
69,135174,Rauchelle Larmond,14/01/2022,Walmart,click place order ask pay type gift card number realize balance show mean card already charge get line customer service explain issue hope would put order refund money gift card customer rep tell nothing could refund card take business day would need reorder
70,135175,Rauchelle Larmond,14/01/2022,Walmart,rep reorder grocery end use remainder money gift card remain sum pay mastercard time slot pm item list dinner night alternate dinner need prepare
71,135176,Rauchelle Larmond,14/01/2022,Walmart,not pay grocery order twice one day
72,135177,Rauchelle Larmond,14/01/2022,Walmart,grocery never show call customer service pm inquire order say nothing could ask speak supervisor tell would wait grocery deliver end day not deliver would call back morning order could make first thing
73,135178,Rauchelle Larmond,14/01/2022,Walmart,point would compensation inconvenience
74,135179,Rauchelle Larmond,14/01/2022,Walmart,single mom three child no money leave gift card still no grocery well not show last night call morning customer service rep explain not deliver next day would reorder grocery ask speak supervisor call walmart ask deliver order number ask anything inconvenience say would send dollar evoucher
75,135182,Rauchelle Larmond,14/01/2022,Walmart,multimillion dollar company just make spend money grocery order twice one day neglect deliver order inconvenience cause offer measley walmart king joke customer service rep rude supervisor robotic literally say thank call walmart good day instead sorry inconvenience give number walmart call afterward find time slot order since rep walmart answer supervisor call hang without give time slot
76,135183,Rauchelle Larmond,14/01/2022,Walmart,walmart one bad reputation customer service well deserved
77,180037,Jessica,15/01/2019,Walmart,purchase holiday dvd collection go watch one disc collection notice cloudy white mark disc
78,180038,Jessica,15/01/2019,Walmart,disc not readable due mark
79,180039,Jessica,15/01/2019,Walmart,go store return tell take back open
80,180040,Jessica,15/01/2019,Walmart,exchange movie
81,180041,Jessica,15/01/2019,Walmart,unfortunate thing holiday not stock exchange
82,180042,Jessica,15/01/2019,Walmart,girl tell nothing could
83,180043,Jessica,15/01/2019,Walmart,extremely unacceptable purchase dvd defective store would â€™ve know defective open
84,180044,Jessica,15/01/2019,Walmart,least could â€™ve let return gift card amount pay
85,180045,Jessica,15/01/2019,Walmart,never purchase another dvd walmart due lack customer concern care
86,180046,Jessica,15/01/2019,Walmart,guess mean loyal customer
87,152278,Ronald Hussey,15/01/2021,Walmart,would like give kenvin five star rate
88,152279,Ronald Hussey,15/01/2021,Walmart,walnew recliner
89,152280,Ronald Hussey,15/01/2021,Walmart,very helpful find replacement part
90,152282,Mary Thacker,15/01/2021,Walmart,beware find unauthorized fraudulent charge credit card walmart east gadsden al
91,152283,Mary Thacker,15/01/2021,Walmart,try contact store
92,152284,Mary Thacker,15/01/2021,Walmart,call day sev time day
93,152285,Mary Thacker,15/01/2021,Walmart,no one would answer customer service pickup delivery
94,152286,Mary Thacker,15/01/2021,Walmart,department credit card info pickup delivery
95,152288,Mary Thacker,15/01/2021,Walmart,not get anyone answer elderly pre exist condition
96,152289,Mary Thacker,15/01/2021,Walmart,always people store without mask use pickup delivery
97,152290,Mary Thacker,15/01/2021,Walmart,never
98,152292,Sara,15/01/2021,Walmart,nightmare delivery charge credit card instead ebt card even though put pin number know didn just forget
99,152293,Sara,15/01/2021,Walmart,fix issue tell need physically return item store rescan item charge correct card
100,152294,Sara,15/01/2021,Walmart,just pay tip delivery
101,152295,C Caldwell,15/01/2021,Walmart,walmart tuesday say would indefinitely suspend contri
102,152296,C Caldwell,15/01/2021,Walmart,ion member congress vote certify result presidential election business come pressure respond mob storm capitol last week
103,152297,C Caldwell,15/01/2021,Walmart,customer walmart year say good bye
104,152299,David,15/01/2021,Walmart,join walmart give try
105,152300,David,15/01/2021,Walmart,order blood pressure monitor deliver store
106,152301,David,15/01/2021,Walmart,unit fail week
107,152302,David,15/01/2021,Walmart,try get refund must store crazy order deliver due covid
108,152303,David,15/01/2021,Walmart,want go store return unbelievably stupid lapse underst
109,152304,David,15/01/2021,Walmart,ing walmart part stick amazon super easy safe return policy plus variety
110,152305,David,15/01/2021,Walmart,need step walmart think customer service
111,152307,Anna Martinez,15/01/2021,Walmart,walmart howell would not let pick package order store apparently pickup close never tell anything
112,152308,Anna Martinez,15/01/2021,Walmart,difference make store open till pm
113,152309,Anna Martinez,15/01/2021,Walmart,pay want package
114,152311,JDJX,15/01/2021,Walmart,place small order walmart deliver home
115,152312,JDJX,15/01/2021,Walmart,pay pay pal offer payment option
116,152313,JDJX,15/01/2021,Walmart,bank account immediately charge
117,152314,JDJX,15/01/2021,Walmart,never receive kind order confirmation etc walmart
118,152315,JDJX,15/01/2021,Walmart,order no even show walmart account page long story short
119,152316,JDJX,15/01/2021,Walmart,walmart call support chat inform walmart didi not even item offer sale tell refer third party vendor
120,152317,JDJX,15/01/2021,Walmart,three day pass still get no order info mail walmart
121,152318,JDJX,15/01/2021,Walmart,four day later finally get mail order info
122,152322,JDJX,15/01/2021,Walmart,not walmart
123,152323,JDJX,15/01/2021,Walmart,amazon not order amazon walmart engage very dishonest business practice get nothing
124,152324,JDJX,15/01/2021,Walmart,lie generic answer walmart via chat phone beware walmart
125,135164,Lance Lehman,15/01/2022,Walmart,no shopping cart available walk store
126,135165,Lance Lehman,15/01/2022,Walmart,second time row happen
127,135166,Lance Lehman,15/01/2022,Walmart,upon check pretty much force use self check station
128,135167,Lance Lehman,15/01/2022,Walmart,problem something gross spill station
129,135168,Lance Lehman,15/01/2022,Walmart,noone even clean just walk around like daydream
130,135169,Lance Lehman,15/01/2022,Walmart,would rate experience following suck
131,182072,Pursia,16/01/2018,Walmart,since walmart not like review reject state inappropriate
132,182073,Pursia,16/01/2018,Walmart,not sure case
133,182074,Pursia,16/01/2018,Walmart,very professional
134,182075,Pursia,16/01/2018,Walmart,guess just not like hear truth
135,182076,Pursia,16/01/2018,Walmart,go way make review know anywhere
136,182077,Pursia,16/01/2018,Walmart,very shady
137,182078,Pursia,16/01/2018,Walmart,say surprised though
138,182079,Pursia,16/01/2018,Walmart,go
139,182080,Pursia,16/01/2018,Walmart,buy toaster walmart online every walmart within distance sell item want
140,182081,Pursia,16/01/2018,Walmart,toaster great
141,182082,Pursia,16/01/2018,Walmart,great little toaster
142,182083,Pursia,16/01/2018,Walmart,great price
143,182084,Pursia,16/01/2018,Walmart,love much get mom one
144,182085,Pursia,16/01/2018,Walmart,issue not toaster
145,182086,Pursia,16/01/2018,Walmart,walmart
146,182087,Pursia,16/01/2018,Walmart,not shop online
147,182088,Pursia,16/01/2018,Walmart,terrible
148,182089,Pursia,16/01/2018,Walmart,problem walmart shipping
149,182090,Pursia,16/01/2018,Walmart,take extremely long time ship
150,182091,Pursia,16/01/2018,Walmart,long payment must time charge ship
151,182092,Pursia,16/01/2018,Walmart,unhappy service fact walmart charge twice
152,182093,Pursia,16/01/2018,Walmart,create hold amount right xmas charge
153,182094,Pursia,16/01/2018,Walmart,mean two hold account
154,182095,Pursia,16/01/2018,Walmart,not right especially right xmas
155,182096,Pursia,16/01/2018,Walmart,wait business day old amount release even receive product give walmart right charge card never company let alone big company like walmart
156,182097,Pursia,16/01/2018,Walmart,get together
157,182098,ROMINA BROWN,16/01/2018,Walmart,excellent stuff ordre food boy get back good stuff
158,180027,Jeanette Smith-Rowe,16/01/2019,Walmart,purchase item online third party seller
159,180028,Jeanette Smith-Rowe,16/01/2019,Walmart,not disclose charge shipping fee restock
160,180029,Jeanette Smith-Rowe,16/01/2019,Walmart,agree waive fee since not disclose
161,180031,Jeanette Smith-Rowe,16/01/2019,Walmart,item br
162,180032,Jeanette Smith-Rowe,16/01/2019,Walmart,new walmart agent
163,180033,Jeanette Smith-Rowe,16/01/2019,Walmart,receive refund seller charge state item damage unable resell
164,180034,Jeanette Smith-Rowe,16/01/2019,Walmart,item damage agent would note tell damage unable return
165,180035,Jeanette Smith-Rowe,16/01/2019,Walmart,happen send walmart seller not responsibility
166,152236,Deborah Reckart,16/01/2021,Walmart,walmart delivery service not reliable
167,152237,Deborah Reckart,16/01/2021,Walmart,amazon deliver hrs
168,152238,Deborah Reckart,16/01/2021,Walmart,willing try walmart schedule deliver seven day ahead friday delivery
169,152239,Deborah Reckart,16/01/2021,Walmart,order never show no call text email
170,152240,Deborah Reckart,16/01/2021,Walmart,call saturday evening representative say not driver
171,152241,Deborah Reckart,16/01/2021,Walmart,cancel order want order sit hrs driver hold money bank hrs
172,152243,Mika,16/01/2021,Walmart,beware delivery service
173,152244,Mika,16/01/2021,Walmart,first express delivery order disaster
174,152245,Mika,16/01/2021,Walmart,suppose arrive hour haven receive yet
175,152246,Mika,16/01/2021,Walmart,customer service no help able speak people country seem outsourced company
176,152247,Mika,16/01/2021,Walmart,difficult time reach anyone walmart
177,152248,Mika,16/01/2021,Walmart,escalate issue no direct communication walmart
178,152249,Mika,16/01/2021,Walmart,first order definitely last
179,152250,Mika,16/01/2021,Walmart,cancel walmart subscription take chance reputable delivery service future
180,152252,Suki Rohan,16/01/2021,Walmart,first order schedule deliver delay
181,152253,Suki Rohan,16/01/2021,Walmart,no communication next call customer service store guy sound like not care
182,152254,Suki Rohan,16/01/2021,Walmart,reschedule driver call phone show alabama caller
183,152255,Suki Rohan,16/01/2021,Walmart,could not find apt show irritation
184,152256,Suki Rohan,16/01/2021,Walmart,really bad service
185,152257,Suki Rohan,16/01/2021,Walmart,think communication look bit professionalism
186,152259,Heidi W.,16/01/2021,Walmart,terrible time deal walmart
187,152260,Heidi W.,16/01/2021,Walmart,com
188,152261,Heidi W.,16/01/2021,Walmart,attempt online grocery order every single item come stock attempt pay
189,152262,Heidi W.,16/01/2021,Walmart,mind trip brick mortar store next day show false
190,152263,Heidi W.,16/01/2021,Walmart,online order pickup store order accept cancel several hour later
191,152264,Heidi W.,16/01/2021,Walmart,last incident involve electronic ship envelope arrived crush
192,152265,Heidi W.,16/01/2021,Walmart,too unreliable too frustrating deal online
193,152267,Keila Aguiar,16/01/2021,Walmart,like shop walmart
194,152268,Keila Aguiar,16/01/2021,Walmart,com
195,152269,Keila Aguiar,16/01/2021,Walmart,bother not always right info product one thing price let get add pick day come tell not cancel order
196,152271,Laci,16/01/2021,Walmart,thing order come time
197,152272,Laci,16/01/2021,Walmart,one problem cancelation
198,152274,Laci,16/01/2021,Walmart,customer service fix immediately
199,152275,Laci,16/01/2021,Walmart,store super rude
200,152276,Laci,16/01/2021,Walmart,online good
201,135160,Gavyn S,16/01/2022,Walmart,horrible grocery experience leave right
202,135161,Gavyn S,16/01/2022,Walmart,seem never item stock
203,135162,Gavyn S,16/01/2022,Walmart,order online become hair pull fiasco not seem get sheet together bad company around just need get rid
204,135163,Gavyn S,16/01/2022,Walmart,stop shop walmart
205,183009,Wynn,17/01/2017,Walmart,not order walmart online
206,183010,Wynn,17/01/2017,Walmart,first order arrive damage replacement never arrive customer service amongst bad ever receive convenience wait refund pick damage item
207,183011,Wynn,17/01/2017,Walmart,irresponsible
208,183012,Wynn,17/01/2017,Walmart,ling order actually end cost money time inconvenience completely disregard customer service absolutely disgusting
209,183013,Wynn,17/01/2017,Walmart,sure spread experience much possible suggest positive not person deal treat like
210,152196,Amber Smith,17/01/2021,Walmart,order cell phone walmart
211,152197,Amber Smith,17/01/2021,Walmart,com
212,152198,Amber Smith,17/01/2021,Walmart,take money account order cancel due stock
213,152199,Amber Smith,17/01/2021,Walmart,try find money not put back account csr hang
214,152200,Amber Smith,17/01/2021,Walmart,finally able online chat representative still unable help
215,152201,Amber Smith,17/01/2021,Walmart,bad service ever receive
216,152202,Amber Smith,17/01/2021,Walmart,very disappointed hope not waste time money company
217,152204,Lynn,17/01/2021,Walmart,use shop walmart religiously
218,152205,Lynn,17/01/2021,Walmart,past year slow today last time put hard earn money towards company incredibly gross try return item assume would come excuse could not return past theme surround individual just suspect tell go company produce product
219,152206,Lynn,17/01/2021,Walmart,let move serious issue wait minute turn force watch hear disgusting language general wording towards elderly gentleman try pick order late walmart behalf finally ask could get refund would shop item refund grant ask fund go available make grocery purchase tell um no sir take approximately day bank process time little upset ask could just go grab item pick order could finalize order system state sir not employee mine correct state no would let shop store pick order state could purchase item wise wait fund available account reply well already refund transaction good day walk away
220,152207,Lynn,17/01/2021,Walmart,embarrassed heart break just enrage idea not treat customer way
221,152208,Lynn,17/01/2021,Walmart,elderly customer clearly struggle
222,152209,Lynn,17/01/2021,Walmart,say disrespectful thing tone would not speak bad enemy not florence ky walmart nor friend family yes may just number
223,152210,Lynn,17/01/2021,Walmart,enough take st
224,152211,Lynn,17/01/2021,Walmart,make difference hopefully walmart take notice corporate level amd make change
225,152213,Kate Bevington,17/01/2021,Walmart,go online tv
226,152214,Kate Bevington,17/01/2021,Walmart,state want
227,152215,Kate Bevington,17/01/2021,Walmart,wal mart st illwater mn say stock
228,152216,Kate Bevington,17/01/2021,Walmart,not stock store contact
229,152217,Kate Bevington,17/01/2021,Walmart,false advertising
230,152219,nancy burrill,17/01/2021,Walmart,always stock
231,152220,nancy burrill,17/01/2021,Walmart,no communication customer service
232,152221,nancy burrill,17/01/2021,Walmart,just cancel order without explanation
233,152222,nancy burrill,17/01/2021,Walmart,not order online walmart anymore always stock
234,152223,nancy burrill,17/01/2021,Walmart,true pick one store
235,152224,nancy burrill,17/01/2021,Walmart,want item go store see
236,152225,nancy burrill,17/01/2021,Walmart,save aggravation
237,152226,nancy burrill,17/01/2021,Walmart,walmart always stock
238,152227,nancy burrill,17/01/2021,Walmart,ridiculous
239,152228,nancy burrill,17/01/2021,Walmart,â€™ll shop target
240,152229,nancy burrill,17/01/2021,Walmart,amazon
241,152230,nancy burrill,17/01/2021,Walmart,don take walmart
242,152231,nancy burrill,17/01/2021,Walmart,waste hard earn money since unable get half try order
243,152232,nancy burrill,17/01/2021,Walmart,amazon never stock get amazon prime benefit amazon prime
244,152233,nancy burrill,17/01/2021,Walmart,don waste time money walmart
245,152234,nancy burrill,17/01/2021,Walmart,com walmart
246,135052,Tammy,17/01/2022,Walmart,place order online
247,135053,Tammy,17/01/2022,Walmart,get email today start deliver
248,135054,Tammy,17/01/2022,Walmart,photo show yellow door face
249,135055,Tammy,17/01/2022,Walmart,nor place
250,135056,Tammy,17/01/2022,Walmart,mine brick
251,135057,Tammy,17/01/2022,Walmart,customer service agent edward say first time call mr
252,135058,Tammy,17/01/2022,Walmart,campbell order info
253,135059,Tammy,17/01/2022,Walmart,state liz miller order
254,135060,Tammy,17/01/2022,Walmart,refuse transfer supervisor hang
255,135061,Tammy,17/01/2022,Walmart,recall
256,135062,Tammy,17/01/2022,Walmart,john walmart agent ask question would not transfer supervisor
257,135063,Tammy,17/01/2022,Walmart,someone use info
258,135064,Tammy,17/01/2022,Walmart,identity theft
259,135065,Tammy,17/01/2022,Walmart,walmart charge card deliver thing another address
260,135066,Tammy,17/01/2022,Walmart,insurance fraud
261,135067,Tammy,17/01/2022,Walmart,not shop online walmart
262,135068,Tammy,17/01/2022,Walmart,bunch crook never shop
263,135069,Tammy,17/01/2022,Walmart,enrage faceenrage faceenrage face
264,135070,Five Stripes,17/01/2022,Walmart,buy christmas present niece walmart
265,135071,Five Stripes,17/01/2022,Walmart,take money nothing ever show
266,135072,Five Stripes,17/01/2022,Walmart,unable claim money back despite leave message
267,135073,Five Stripes,17/01/2022,Walmart,uk no number call
268,135074,Five Stripes,17/01/2022,Walmart,really expensive uk number not afford call
269,135075,Five Stripes,17/01/2022,Walmart,steal america rich family
270,135077,Tarek Sakhaoui,17/01/2022,Walmart,wrong order receive
271,135078,Tarek Sakhaoui,17/01/2022,Walmart,no customer compensation
272,135079,Tarek Sakhaoui,17/01/2022,Walmart,receive order another client not sure keep product right temperature
